DATASET,SIZE,DIM,SOURCE,TARGET,SPLIT,MEASURE,METHOD,METHOD2,meandiff,p-adj,lower,upper,reject
orkut,351-355,32,node2vec,TransE,test,MRR,target,transformed,-0.0517,0.001,-0.0689,-0.0345,True
orkut,351-355,32,node2vec,SimplE,test,MRR,target,transformed,0.0536,0.001,0.0395,0.0678,True
lj,111-115,32,node2vec,TransD,test,MRR,source2target,target,0.0056,0.7704,-0.0102,0.0213,False
lj,111-115,32,deepWalk,TransD,test,MRR,source2target,target,0.0064,0.7564,-0.0112,0.0241,False
lj,111-115,32,deepWalk,TransE,test,MRR,source2target,target,-0.0013,0.9,-0.0181,0.0156,False
orkut,351-355,32,deepWalk,RESCAL,test,MRR,target,transformed,-0.0154,0.1022,-0.0328,0.002,False
lj,111-115,32,deepWalk,SimplE,test,MRR,source2target,target,-0.0256,0.001,-0.04,-0.0111,True
lj,111-115,32,node2vec,SimplE,test,MRR,source2target,target,-0.0225,0.001,-0.0328,-0.0122,True
lj,111-115,32,deepWalk,TransH,test,MRR,source2target,target,-0.0014,0.9,-0.0182,0.0155,False
lj,111-115,32,node2vec,TransE,test,MRR,source2target,target,-0.0022,0.9,-0.02,0.0156,False
orkut,351-355,32,deepWalk,SimplE,test,MRR,target,transformed,0.0179,0.0069,0.0037,0.0321,True
lj,121-125,32,deepWalk,TransH,test,MRR,target,transformed,-0.0573,0.001,-0.0851,-0.0296,True
lj,111-115,32,node2vec,RESCAL,test,MRR,source2target,target,0.0015,0.9,-0.0236,0.0267,False
lj,111-115,32,node2vec,TransH,test,MRR,source2target,target,-0.0011,0.9,-0.0192,0.017,False
lj,121-125,32,node2vec,TransE,test,MRR,target,transformed,-0.0602,0.001,-0.0859,-0.0345,True
lj,121-125,32,deepWalk,TransE,test,MRR,target,transformed,-0.0528,0.001,-0.0798,-0.0259,True
lj,111-115,32,deepWalk,RESCAL,test,MRR,source2target,target,-0.0,0.9,-0.0253,0.0253,False
orkut,351-355,32,node2vec,TransH,test,MRR,target,transformed,-0.0512,0.001,-0.0683,-0.0342,True
youtube,16-20,32,node2vec,SimplE,test,MRR,target,transformed,0.017,0.4126,-0.0114,0.0453,False
youtube,16-20,32,deepWalk,TransE,test,MRR,target,transformed,0.0602,0.0879,-0.0058,0.1261,False
orkut,351-355,32,node2vec,RESCAL,test,MRR,target,transformed,-0.004,0.9,-0.0205,0.0125,False
lj,121-125,32,deepWalk,TransD,test,MRR,target,transformed,-0.0806,0.001,-0.1053,-0.0559,True
orkut,351-355,32,deepWalk,TransH,test,MRR,target,transformed,-0.0516,0.001,-0.0697,-0.0335,True
youtube,16-20,32,node2vec,DistMult,test,MRR,target,transformed,0.0233,0.1656,-0.0058,0.0525,False
orkut,351-355,32,deepWalk,DistMult,test,MRR,target,transformed,0.0178,0.0087,0.0034,0.0323,True
orkut,351-355,32,node2vec,DistMult,test,MRR,target,transformed,0.0539,0.001,0.0399,0.0679,True
youtube,16-20,32,deepWalk,TransH,test,MRR,target,transformed,0.0587,0.1049,-0.0078,0.1253,False
