DATASET,SIZE,DIM,SOURCE,TARGET,SPLIT,MEASURE,METHOD,mean,iqr,cilo,cihi,whishi,whislo,q1,med,q3
youtube,16-20,32,node2vec,DistMult,test,Hit@10,source2target,0.6919454852941176,0.21964300000000003,0.6581820669524635,0.7418179330475364,1.0,0.3,0.580357,0.7,0.8
youtube,16-20,32,deepWalk,TransH,test,Hit@1,source2target,0.20165867647058824,0.22797625,0.1232624956045564,0.21007150439544361,0.5,0.0,0.08035700000000001,0.166667,0.30833325
youtube,16-20,32,deepWalk,TransD,test,Hit@3,source,0.14032873529411763,0.119643,0.10222111351781574,0.14777888648218426,0.375,0.0,0.08035700000000001,0.125,0.2
youtube,16-20,32,deepWalk,TransH,test,Hit@1,transformed,0.28102136764705893,0.25625,0.16232344317628514,0.2598985568237148,0.666667,0.0,0.125,0.211111,0.38125
youtube,16-20,32,node2vec,DistMult,test,Hit@10,transformed,0.5829357352941177,0.19062500000000004,0.5692623174847974,0.6418486825152024,0.9,0.3,0.5,0.6055554999999999,0.690625
youtube,16-20,32,node2vec,SimplE,test,Hit@1,source,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
youtube,16-20,32,deepWalk,TransD,test,Hit@3,source2target,0.3974731764705883,0.2625,0.35002250276595065,0.4499774972340494,0.833333,0.0,0.2375,0.4,0.5
youtube,16-20,32,node2vec,DistMult,test,Hit@10,target,0.6971222205882354,0.27916675,0.6135163124725198,0.7198176875274802,1.0,0.25,0.59583325,0.666667,0.875
youtube,16-20,32,deepWalk,TransD,test,Hit@3,transformed,0.4992124117647059,0.333334,0.43653638452184906,0.5634636154781509,1.0,0.0,0.333333,0.5,0.666667
youtube,16-20,32,node2vec,SimplE,test,Hit@1,source2target,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
youtube,16-20,32,deepWalk,TransH,test,Hit@1,target,0.20735719117647058,0.20729174999999997,0.15428362719136668,0.23321637280863333,0.5,0.0,0.09583325000000001,0.19375,0.303125
youtube,16-20,32,deepWalk,DistMult,test,MRR,source2target,0.16947854411764704,0.08853849999999999,0.1504536137567357,0.1841673862432643,0.300099,0.077733,0.12284975000000001,0.1673105,0.21138825
youtube,16-20,32,node2vec,DistMult,test,Hit@3,source,0.17312517647058825,0.3,0.10954986030394359,0.22378413969605643,0.6,0.0,0.0,0.166667,0.3
youtube,16-20,32,deepWalk,TransD,test,Hit@3,target,0.4160481323529412,0.32440499999999994,0.35490338098966945,0.47843061901033057,1.0,0.0,0.25,0.416667,0.5744049999999999
youtube,16-20,32,node2vec,SimplE,test,Hit@1,transformed,0.02580613235294118,0.015625,-0.0029748510258362716,0.0029748510258362716,0.015625,0.0,0.0,0.0,0.015625
youtube,16-20,32,deepWalk,DistMult,test,MRR,transformed,0.19766045588235293,0.13543075,0.15773827644369434,0.20930772355630564,0.414352,0.081378,0.125606,0.183523,0.26103675
youtube,16-20,32,deepWalk,TransD,test,Hit@1,source,0.032186617647058824,0.06770825,-0.01289100524608504,0.01289100524608504,0.166667,0.0,0.0,0.0,0.06770825
youtube,16-20,32,deepWalk,DistMult,test,MRR,target,0.18564091176470593,0.08405599999999999,0.1662995390190276,0.19830646098097238,0.310466,0.069776,0.14349375,0.182303,0.22754975
youtube,16-20,32,node2vec,DistMult,test,Hit@3,source2target,0.17312517647058825,0.3,0.10954986030394359,0.22378413969605643,0.6,0.0,0.0,0.166667,0.3
youtube,16-20,32,node2vec,SimplE,test,Hit@1,target,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
youtube,16-20,32,deepWalk,TransD,test,Hit@1,source2target,0.1867252205882353,0.22976175000000001,0.12292255342813205,0.21041144657186797,0.6,0.0,0.05357175,0.166667,0.2833335
youtube,16-20,32,deepWalk,DistMult,test,MR,source,8.511087205882353,3.247222,7.643664891339641,8.88014510866036,13.375,5.25,6.76666675,8.261905,10.01388875
youtube,16-20,32,node2vec,DistMult,test,Hit@3,transformed,0.2582821323529412,0.25,0.20240238358661966,0.29759761641338034,0.727273,0.0,0.125,0.25,0.375
youtube,16-20,32,deepWalk,TransD,test,Hit@1,transformed,0.25247033823529413,0.23333299999999998,0.1555756214776669,0.24442437852233312,0.625,0.0,0.1,0.2,0.333333
youtube,16-20,32,node2vec,DistMult,test,Hit@3,target,0.20189816176470585,0.24062524999999996,0.15418724660450503,0.245812753395495,0.6,0.0,0.06249975000000001,0.2,0.303125
youtube,16-20,32,deepWalk,DistMult,test,MR,source2target,8.520961176470589,3.295833000000001,7.634409820413758,8.889400179586243,13.375,5.25,6.76666675,8.261905,10.06249975
youtube,16-20,32,deepWalk,DistMult,test,MR,transformed,9.359757500000002,3.8723217499999993,8.446080358857241,9.920586641142759,14.25,4.333333,7.3526785,9.1833335,11.225000249999999
youtube,16-20,32,deepWalk,TransD,test,Hit@1,target,0.20104591176470588,0.23437525000000003,0.1324606870148395,0.2217063129851605,0.5,0.0,0.083333,0.1770835,0.31770825
youtube,16-20,32,node2vec,DistMult,test,Hit@1,source,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
youtube,16-20,32,node2vec,DistMult,test,Hit@1,source2target,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
youtube,16-20,32,node2vec,DistMult,test,Hit@1,transformed,0.03344792647058823,0.06473225,-0.012324403220300161,0.012324403220300161,0.136364,0.0,0.0,0.0,0.06473225
youtube,16-20,32,deepWalk,DistMult,test,MR,target,8.044345470588233,2.680357,7.573018582652324,8.593647417347675,12.75,4.4375,6.3374999999999995,8.083333,9.017857
youtube,16-20,32,node2vec,DistMult,test,Hit@1,target,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
youtube,16-20,32,deepWalk,DistMult,test,Hit@10,source,0.6724062941176472,0.21676125000000013,0.6253977246768606,0.7079362753231394,1.0,0.333333,0.58636375,0.666667,0.8031250000000001
youtube,16-20,32,deepWalk,DistMult,test,Hit@10,source2target,0.6724062941176472,0.21676125000000013,0.6253977246768606,0.7079362753231394,1.0,0.333333,0.58636375,0.666667,0.8031250000000001
youtube,16-20,32,deepWalk,DistMult,test,Hit@10,transformed,0.54762675,0.26250000000000007,0.4500225027659506,0.5499774972340494,1.0,0.1,0.428125,0.5,0.690625
youtube,16-20,32,deepWalk,DistMult,test,Hit@10,target,0.6971222205882354,0.27916675,0.6135163124725198,0.7198176875274802,1.0,0.25,0.59583325,0.666667,0.875
youtube,16-20,32,deepWalk,DistMult,test,Hit@3,source,0.15542851470588234,0.25,0.06490238358661965,0.16009761641338036,0.625,0.0,0.0,0.1125,0.25
youtube,16-20,32,deepWalk,DistMult,test,Hit@3,source2target,0.15542851470588234,0.25,0.06490238358661965,0.16009761641338036,0.625,0.0,0.0,0.1125,0.25
youtube,16-20,32,deepWalk,DistMult,test,Hit@3,transformed,0.2105453088235294,0.333333,0.12403657491231476,0.2509634250876852,0.625,0.0,0.0,0.1875,0.333333
youtube,16-20,32,deepWalk,DistMult,test,Hit@3,target,0.20189816176470585,0.24062524999999996,0.15418724660450503,0.245812753395495,0.6,0.0,0.06249975000000001,0.2,0.303125
youtube,16-20,32,deepWalk,DistMult,test,Hit@1,source,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
youtube,16-20,32,deepWalk,DistMult,test,Hit@1,source2target,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
youtube,16-20,32,deepWalk,DistMult,test,Hit@1,transformed,0.03593366176470588,0.0625,-0.011899404103345087,0.011899404103345087,0.142857,0.0,0.0,0.0,0.0625
youtube,16-20,32,deepWalk,DistMult,test,Hit@1,target,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
youtube,16-20,32,node2vec,TransE,test,MRR,source,0.23240948529411765,0.13062124999999997,0.17514945938825496,0.224887540611745,0.469697,0.091211,0.15239975,0.2000185,0.28302099999999997
youtube,16-20,32,node2vec,TransE,test,MRR,source2target,0.37930111764705876,0.25746725000000004,0.29668569038196846,0.3947243096180316,0.783333,0.119255,0.26171175,0.34570500000000004,0.5191790000000001
